Incident Number,Date Reported,Date Occurred,Badge ID,Offense Classification,Offense Code Name,NIBRS Code,NIBRS Group,Was Offense Completed,LMPD Division,LMPD Beat,Location Category,Block Address,City,Zip Code,ObjectId
LMPD24004535,01/12/2024,12/18/2023,5597,26 COUNTERFEITING,CRIMINAL POSSESSION FORGED INSTRUMENT-2ND DEGREE-IDENTIFY 516.060 25062 250,250,A,Yes,8th Division,812,Residence/Home,4800 BLOCK SPRINGDALE RD,LOUISVILLE,40241,
LMPD24004503,01/12/2024,12/07/2023,5623,32 THEFT FR BLDG,"TBUT OR DISP FROM BUILDING $500 < $1,000 514.030 24161E 270",270,A,Yes,4th Division,424,Hotel/ Motel/ Etc.,800 BLOCK PHILLIPS LN,LOUISVILLE,40209,
LMPD24004632,01/12/2024,12/14/2023,8560,14 AUTO THEFT,"TBUT OR DISP AUTO $10,000 < $1,000,000 514.030 24113 240",240,A,Yes,3rd Division,334,Rental Storage Facility,9000 BLOCK STONESTREET RD,LOUISVILLE,40272,
LMPD24004193,01/11/2024,11/17/2023,8358,32 EMBEZZLEMENT,TBUT OR DISP FROM BUILDING 514.030 24160E 270,270,A,Yes,8th Division,815,Department/Discount Store,7900 BLOCK SHELBYVILLE RD,LOUISVILLE,40222,
LMPD24004121,01/11/2024,12/28/2023,8358,23 LARCENY,"TBUT OR DISP ALL OTHERS $1,000 < $10,000 514.030 24097 23H",23H,A,Yes,6th Division,612,Other Residence (Apartment/Condo),3300 BLOCK WARWICKSHIRE CT,LOUISVILLE,40213,
LMPD24004206,01/11/2024,12/02/2023,8544,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,Yes,7th Division,711,Cyberspace,13800 BLOCK LAKEMONT CT,LOUISVILLE,40299,
LMPD24004077,01/11/2024,06/05/2023,8499,32 EMBEZZLEMENT,"THEFT BY DECEPTION INCLUDING COLD CHECKS $1,000 < $10,000 514.040(8)(b) 71287E 270",270,A,Yes,5th Division,514,Cyberspace,3000 BLOCK BUNKER HILL DR,LOUISVILLE,40205,
LMPD24004188,01/11/2024,12/27/2023,8373,14 AUTO THEFT,"TBUT OR DISP AUTO $1,000 < $10,000 514.030 24112 240",240,A,Yes,3rd Division,316,Highway/ Road/ Alley/ Street/ Sidewalk,15900 BLOCK DIXIE HWY,LOUISVILLE,40177,
LMPD24004072,01/11/2024,01/10/2023,4354,21 THEFT FR VEH,"TBUT OR DISP CONTENTS FROM VEH $1,000 < $10,000 514.030 24142 23F",23F,A,No,1st Division,123,Parking/ Drop Lot/ Garage,500 BLOCK S 4TH ST,LOUISVILLE,40202,
LMPD24004180,01/11/2024,11/06/2023,8358,32 EMBEZZLEMENT,TBUT OR DISP FROM BUILDING 514.030 24160E 270,270,A,Yes,8th Division,815,Department/Discount Store,7900 BLOCK SHELBYVILLE RD,LOUISVILLE,40222,
LMPD24003918,01/10/2024,10/12/2023,5196,12 INTIMIDATION,TERRORISTIC THREATENING 3RD DEGREE 508.080 00822 13C,13C,A,Yes,4th Division,412,Other Residence (Apartment/Condo),700 BLOCK S JACKSON ST,LOUISVILLE,40203,
LMPD24003816,01/10/2024,11/08/2023,8064,56 ALL OTHER OFFENSES,HARASSING COMMUNICATIONS 525.080 02402 90Z,90Z,B,No,2nd Division,225,Residence/Home,2000 BLOCK ST LOUIS AVE,LOUISVILLE,40210,
LMPD24003903,01/10/2024,01/02/2023,8544,14 AUTO THEFT,"TBUT OR DISP AUTO $10,000 < $1,000,000 514.030 24113 240",240,A,Yes,1st Division,112,Parking/ Drop Lot/ Garage,3000 BLOCK W BROADWAY,LOUISVILLE,40211,
LMPD24003706,01/10/2024,12/14/2023,4354,26 COUNTERFEITING,CRIMINAL POSSESSION FORGED INSTRUMENT-2ND DEGREE-IDENTIFY 516.060 25062 250,250,A,Yes,4th Division,436,Commercial/Office Building,4700 BLOCK ALLMOND AVE,LOUISVILLE,40209,
LMPD24003754,01/10/2024,12/30/2023,5045,23 THEFT OTHER,THEFT OF MAIL MATTER 514.140 23265 23H,23H,A,Yes,4th Division,424,Other Residence (Apartment/Condo),300 BLOCK W WHITNEY AVE,LOUISVILLE,40214,
LMPD24003752,01/10/2024,12/18/2023,8358,23 THEFT OTHER,THEFT OF MAIL MATTER 514.140 23265 23H,23H,A,Yes,6th Division,624,Other Residence (Apartment/Condo),7000 BLOCK WILDWOOD CIR,LOUISVILLE,40291,
LMPD24003756,01/10/2024,12/20/2023,4354,26 COUNTERFEITING,CRIMINAL POSSESSION FORGED INSTRUMENT-2ND DEGREE-IDENTIFY 516.060 25062 250,250,A,Yes,MIDDLETOWN,MTN,Department/Discount Store,12900 BLOCK SHELBYVILLE RD,MIDDLETOWN,40243,
LMPD24003710,01/10/2024,12/28/2023,5620,14 AUTO THEFT,"TBUT OR DISP AUTO $10,000 < $1,000,000 514.030 24113 240",240,A,Yes,4th Division,412,Parking/ Drop Lot/ Garage,900 BLOCK GOSS AVE,LOUISVILLE,40217,
LMPD24003720,01/10/2024,1/20/2023,5619,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,Yes,7th Division,736,Residence/Home,3700 BLOCK CUTLER RD,LOUISVILLE,40219,
LMPD24003803,01/10/2024,4/20/2023,5620,28 FRAUD CREDIT CARD/ATM,FRAUDULENT USE OF A CREDIT CARD $500 < $1000 434.650(1)(B)(1) 71202 26B,26B,A,Yes,3rd Division,322,Residence/Home,300 BLOCK W SOUTHSIDE CT,LOUISVILLE,40214,
LMPD24003775,01/10/2024,12/22/2023,6318,23 THEFT OTHER,"THEFT BY DECEPTION INCLUDING COLD CHECKS $1,000 < $10,000 514.040(8)(b) 71287 23H",23H,A,Yes,3rd Division,315,Other/Unknown,10000 BLOCK DIXIE HWY,LOUISVILLE,40272,
LMPD24003802,01/10/2024,12/14/2023,5619,23 THEFT OTHER,TBUT OR DISP FIREARM 514.030 23100 23H,23H,A,Yes,4th Division,423,Residence/Home,900 BLOCK BRENTWOOD AVE,LOUISVILLE,40215,
LMPD24003820,01/10/2024,12/25/2023,8560,19 THEFT FR BLDG,"TBUT OR DISP FROM BUILDING $1,000 < $10,000 514.030 24162 23D",23D,A,Yes,7th Division,723,Commercial/Office Building,5700 BLOCK FERN VALLEY RD,LOUISVILLE,40228,
LMPD24003836,01/10/2024,12/30/2023,7669,56 ALL OTHER OFFENSES,HARASSING COMMUNICATIONS 525.080 02402 90Z,90Z,B,No,7th Division,736,Cyberspace,10000 BLOCK OAK BRIDGE CIR,LOUISVILLE,40219,
LMPD24003749,01/10/2024,12/23/2023,8142,23 THEFT OTHER,THEFT OF MAIL MATTER 514.140 23265 23H,23H,A,Yes,5th Division,525,Residence/Home,1900 BLOCK ROUND RIDGE RD,LOUISVILLE,40207,
LMPD24003750,01/10/2024,12/23/2023,8142,26 COUNTERFEITING,CRIMINAL POSSESSION FORGED INSTRUMENT-2ND DEGREE-IDENTIFY 516.060 25062 250,250,A,Yes,5th Division,525,Residence/Home,1900 BLOCK ROUND RIDGE RD,LOUISVILLE,40207,
LMPD24003401,01/09/2024,12/26/2023,5597,23 THEFT OTHER,THEFT OF MAIL MATTER 514.140 23265 23H,23H,A,Yes,3rd Division,331,Residence/Home,2400 BLOCK QUILLMAN HILL RD,LOUISVILLE,40214,
LMPD24003495,01/09/2024,11/30/2023,8560,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,Yes,2nd Division,225,Residence/Home,2300 BLOCK W LEE ST,LOUISVILLE,40210,
LMPD24003413,01/09/2024,12/22/2023,8358,23 THEFT OTHER,THEFT OF MAIL MATTER 514.140 23265 23H,23H,A,Yes,8th Division,812,Commercial/Office Building,2200 BLOCK HOLIDAY MANOR CTR,NORTHFIELD,40222,
LMPD24003426,01/09/2024,12/01/2023,5403,13 BURGLARY,BURGLARY - 3RD DEGREE 511.040 22062 220,220,A,Yes,1st Division,134,Rental Storage Facility,200 BLOCK E MARKET ST,LOUISVILLE,40202,
LMPD24003379,01/09/2024,12/23/2023,5619,23 THEFT OTHER,THEFT OF MAIL MATTER 514.140 23265 23H,23H,A,Yes,5th Division,521,Grocery/ Supermarket,2200 BLOCK BROWNSBORO RD,LOUISVILLE,40206,
LMPD24003456,01/09/2024,7/31/2023,7975,28 FRAUD CREDIT CARD/ATM,FRAUDULENT USE OF A CREDIT CARD $500 < $1000 434.650(1)(B)(1) 71202 26B,26B,A,Yes,3rd Division,323,Residence/Home,100 BLOCK SAM DR,LOUISVILLE,40214,
LMPD24003362,01/09/2024,12/02/2023,8358,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,Yes,3rd Division,322,Commercial/Office Building,300 BLOCK KENWOOD HILL RD,LOUISVILLE,40214,
LMPD24002977,01/08/2024,12/27/2023,8064,23 LARCENY,"TBUT OR DISP ALL OTHERS $1,000 < $10,000 514.030 24097 23H",23H,A,Yes,2nd Division,223,Residence/Home,1300 BLOCK DIXIE HWY,LOUISVILLE,40210,
LMPD24002977,01/08/2024,12/27/2023,8064,13 BURGLARY,BURGLARY - 2ND DEGREE 511.030 22061 220,220,A,Yes,2nd Division,223,Residence/Home,1300 BLOCK DIXIE HWY,LOUISVILLE,40210,
LMPD24002955,01/08/2024,10/08/2023,5597,23 LARCENY,TBUT OR DISP ALL OTHERS 514.030 24095 23H,23H,A,Yes,1st Division,123,Restaurant,300 BLOCK W CHESTNUT ST,LOUISVILLE,40202,
LMPD24003082,01/08/2024,10/08/2023,8544,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,Yes,4th Division,424,Cyberspace,3300 BLOCK PEACHTREE AVE,LOUISVILLE,40215,
LMPD24002939,01/08/2024,12/06/2023,8499,23 THEFT OTHER,THEFT OF MAIL MATTER 514.140 23265 23H,23H,A,Yes,4th Division,423,Residence/Home,3700 BLOCK TAYLOR BLVD,LOUISVILLE,40215,
LMPD24002976,01/08/2024,11/29/2023,5620,23 THEFT OTHER,TBUT OR DISP FIREARM 514.030 23100 23H,23H,A,Yes,8th Division,811,Parking/ Drop Lot/ Garage,4100 BLOCK RIVEROAKS LN,LOUISVILLE,40241,
LMPD24002956,01/08/2024,10/08/2023,5597,28 FRAUD CREDIT CARD/ATM,"FRAUDULENT USE OF A CREDIT CARD $1000 < $10,000 434.650(1)(B)(2) 71204 26B",26B,A,Yes,8th Division,815,Residence/Home,9700 BLOCK BOXFORD WAY,MEADOW VALE,40242,
LMPD24003121,01/08/2024,8/21/2023,5592,15 UNAUTHORIZED USE,UNAUTHORIZED USE OF MOTOR VEHICLE 1ST OFFENSE 514.100 00701 240,240,A,Yes,4th Division,424,Residence/Home,100 BLOCK WEST ADAIR STREET #2,LOUISVILLE,40214-0000,
LMPD24002977,01/08/2024,12/27/2023,8064,NULL,CRIMINAL MISCHIEF - RESIDENTIAL RENTAL PROPERTY 3RD 512.040 01420 290,290,A,Yes,2nd Division,223,Residence/Home,1300 BLOCK DIXIE HWY,LOUISVILLE,40210,
LMPD24002600,01/07/2024,12/24/2023,8585,18 SHOPLIFTING,"TBUT OR DISP SHOPLIFTING $1,000 < $10,000 514.030 24232 23C",23C,A,Yes,7th Division,735,Convenience Store,4800 BLOCK OUTER LOOP,LOUISVILLE,40219,
LMPD24002697,01/07/2024,01/07/2023,5451,11 SIMPLE ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY 508.030 00798 13B,13B,A,Yes,NULL,NULL,Residence/Home,1400 BLOCK HEMLOCK ST,LOUISVILLE,40210,
LMPD24002605,01/07/2024,01/07/2023,5466,12 INTIMIDATION,MENACING 508.050 00803 13C,999,B,Yes,1st Division,111,Residence/Home,2300 BLOCK DUNCAN ST,LOUISVILLE,40212,
LMPD24002679,01/07/2024,09/01/2023,8566,23 THEFT OTHER,THEFT OF PROP MISLAID OR DELIVER BY IMISTAKE 514.050(1) 23472 23H,23H,A,Yes,3rd Division,315,Residence/Home,2000 BLOCK DIXIE GARDEN DR,LOUISVILLE,40272,
LMPD24002697,01/07/2024,01/07/2023,5451,9 AGGRAVATED ASSAULT,STRANGULATION 1ST DEGREE 508.170 13225 13A,13A,A,Yes,NULL,NULL,Residence/Home,1400 BLOCK HEMLOCK ST,LOUISVILLE,40210,
LMPD24002615,01/07/2024,12/12/2023,8373,18 SHOPLIFTING,"TBUT OR DISP SHOPLIFTING $500 < $1,000 514.030 24231 23C",23C,A,Yes,8th Division,815,Department/Discount Store,7900 BLOCK SHELBYVILLE RD,LOUISVILLE,40222,
LMPD24002605,01/07/2024,01/07/2023,5466,11 SIMPLE ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY 508.030 00798 13B,13B,A,Yes,1st Division,111,Residence/Home,2300 BLOCK DUNCAN ST,LOUISVILLE,40212,
LMPD24002336,01/06/2024,12/21/2023,8544,22 THEFT MV PARTS,THEFT OF MOTOR VEHICLE REGISTRATION PLATE/DECAL 186.990(6) 28200 23G,23G,A,Yes,6th Division,625,Parking/ Drop Lot/ Garage,3000 BLOCK PAMELA WAY,LOUISVILLE,40220,
LMPD24002407,01/06/2024,12/27/2023,8566,23 THEFT OTHER,TBUT OR DISP FIREARM 514.030 23100 23H,23H,A,Yes,2nd Division,212,Residence/Home,3700 BLOCK W BROADWAY,LOUISVILLE,40211,
LMPD24002277,01/06/2024,12/19/2023,7439,24 VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE 512.040 01403 290,290,A,Yes,2nd Division,211,Residence/Home,100 BLOCK S 36TH ST,LOUISVILLE,40212,
LMPD24002264,01/06/2024,8/28/2023,8585,26 COUNTERFEITING,CRIMINAL POSSESSION FORGED INSTRUMENT-2ND DEGREE-IDENTIFY 516.060 25062 250,250,A,Yes,5th Division,525,Other/Unknown,4800 BLOCK BROWNSBORO CTR,WINDY HILLS,40207,
LMPD24002278,01/06/2024,2/16/2023,4354,26 COUNTERFEITING,CRIMINAL POSSESSION FORGED INSTRUMENT-2ND DEGREE-IDENTIFY 516.060 25062 250,250,A,Yes,4th Division,412,Residence/Home,1100 BLOCK SYLVIA ST,LOUISVILLE,40217,
LMPD24002347,01/06/2024,12/23/2023,8566,14 AUTO THEFT,"TBUT OR DISP AUTO $1,000 < $10,000 514.030 24112 240",240,A,Yes,3rd Division,315,Auto Dealership New/Used,7600 BLOCK DIXIE HWY,LOUISVILLE,40258,
LMPD24002292,01/06/2024,12/16/2023,8358,22 THEFT MV PARTS,"TBUT PARTS FROM VEHICLE $1,000 < $10,000 514.030 24242 23G",23G,A,Yes,3rd Division,323,Parking/ Drop Lot/ Garage,8700 BLOCK ZACHARY CIR,LOUISVILLE,40214,
LMPD24002375,01/06/2024,12/26/2023,8544,14 AUTO THEFT,"TBUT OR DISP AUTO $10,000 < $1,000,000 514.030 24113 240",240,A,Yes,1st Division,111,Highway/ Road/ Alley/ Street/ Sidewalk,400 BLOCK N 34TH ST,LOUISVILLE,40212,
LMPD24002270,01/06/2024,12/26/2023,8585,23 THEFT OTHER,"THEFT OF SERVICES $1,000 TO < $10,000 514.060(4)(b) 23485 23H",23H,A,Yes,7th Division,724,Residence/Home,10500 BLOCK HILL PEAK CT,LOUISVILLE,40229,
LMPD24001931,01/05/2024,10/31/2023,4354,23 THEFT OTHER,"THEFT OF SERVICES $1,000 TO < $10,000 514.060(4)(b) 23485 23H",23H,A,Yes,2nd Division,223,Residence/Home,3200 BLOCK W KENTUCKY ST,LOUISVILLE,40211,
LMPD24001968,01/05/2024,12/31/2023,5315,24 VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE 512.040 01403 290,290,A,Yes,6th Division,625,Residence/Home,3000 BLOCK MEADOWVIEW CIR,MEADOWVIEW ESTATES,40220,
LMPD24001959,01/05/2024,01/05/2023,5003,46 WPNS LAW VIOLATION,POSSESSION OF FIREARM BY CONVICTED FELON 527.040 52196 520,520,A,Yes,6th Division,625,Hotel/ Motel/ Etc.,3300 BLOCK BARDSTOWN RD,LOUISVILLE,40218,
LMPD24001967,01/05/2024,11/21/2023,4354,28 FRAUD CREDIT CARD/ATM,"FRAUDULENT USE OF A CREDIT CARD $1000 < $10,000 434.650(1)(B)(2) 71204 26B",26B,A,Yes,6th Division,624,Residence/Home,4200 BLOCK STONEMEADOW CT,LOUISVILLE,40218,
LMPD24001888,01/05/2024,12/19/2023,8499,32 EMBEZZLEMENT,TBUT OR DISP FROM BUILDING 514.030 24160E 270,270,A,Yes,8th Division,811,Non-Attached Resd Garage/Shed/Buld,12000 BLOCK WESTPORT RD,LOUISVILLE,40245,
LMPD24002089,01/05/2024,12/17/2023,2569,56 ALL OTHER OFFENSES,HARASSING COMMUNICATIONS 525.080 02402 90Z,90Z,B,No,SHIVELY,SHV,Residence/Home,2300 BLOCK FARNSLEY RD,SHIVELY,40216,
LMPD24001918,01/05/2024,11/05/2023,8142,24 VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE 512.030 01402 290,290,A,Yes,5th Division,521,Other/Unknown,2200 BLOCK BILJANA DR,LOUISVILLE,40206,
LMPD24001937,01/05/2024,11/24/2023,8142,18 SHOPLIFTING,"TBUT OR DISP SHOPLIFTING $1,000 < $10,000 514.030 24232 23C",23C,A,Yes,8th Division,815,Shopping Mall,7900 BLOCK SHELBYVILLE RD,LOUISVILLE,40222,
LMPD24001902,01/05/2024,05/06/2023,5597,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,Yes,7th Division,735,Residence/Home,4000 BLOCK BUCKS RUN RD,LOUISVILLE,40219,
LMPD24002161,01/05/2024,01/05/2023,5340,12 INTIMIDATION,TERRORISTIC THREATENING 3RD DEGREE 508.080 00822 13C,13C,A,Yes,1st Division,111,Residence/Home,1900 BLOCK BAIRD ST,LOUISVILLE,40203,
LMPD24002000,01/05/2024,7/30/2023,8499,23 THEFT OTHER,"TBUT OR DISP ALL OTHERS $10,000 < $1,000,000 514.030 24098 23H",23H,A,Yes,7th Division,736,Parking/ Drop Lot/ Garage,6700 BLOCK PRESTON HWY,LOUISVILLE,40219,
LMPD24001932,01/05/2024,12/08/2023,8142,18 SHOPLIFTING,"TBUT OR DISP SHOPLIFTING $500 < $1,000 514.030 24231 23C",23C,A,Yes,8th Division,815,Shopping Mall,7900 BLOCK SHELBYVILLE RD,LOUISVILLE,40222,
LMPD24001889,01/05/2024,12/20/2023,8499,32 EMBEZZLEMENT,FRAUDULENT USE OF A CREDIT CARD 434.650(1)(B) 71200E 270,270,A,Yes,4th Division,424,Service/Gas Station,3000 BLOCK TAYLOR BLVD,LOUISVILLE,40208,
LMPD24002062,01/05/2024,11/28/2023,8578,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,Yes,1st Division,111,Residence/Home,300 BLOCK N 27TH ST,LOUISVILLE,40212,
LMPD24001893,01/05/2024,12/26/2023,5597,32 THEFT FR BLDG,"TBUT OR DISP FROM BUILDING $500 < $1,000 514.030 24161E 270",270,A,Yes,6th Division,611,Specialty Store,2600 BLOCK PRESTON HWY,LOUISVILLE,40217,
LMPD24001897,01/05/2024,12/26/2023,5300,13 BURGLARY,BURGLARY - 3RD DEGREE 511.040 22062 220,220,A,Yes,6th Division,613,Commercial/Office Building,4600 BLOCK ILLINOIS AVE,LOUISVILLE,40213,
LMPD24001916,01/05/2024,12/06/2023,9553,23 THEFT OTHER,"THEFT BY DECEPTION INCLUDING COLD CHECKS $1,000 < $10,000 514.040(8)(b) 71287 23H",23H,A,Yes,6th Division,624,Residence/Home,6300 BLOCK COTTAGE FIELD CIR,LOUISVILLE,40218,
LMPD24001906,01/05/2024,12/21/2023,8064,23 THEFT OTHER,THEFT OF MAIL MATTER 514.140 23265 23H,23H,A,Yes,2nd Division,236,Other Residence (Apartment/Condo),0 BLOCK DAVY CROCKETT TRL,LOUISVILLE,40216,
LMPD24002027,01/05/2024,12/07/2023,8578,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,Yes,5th Division,512,Residence/Home,2100 BLOCK CHEROKEE PKY,LOUISVILLE,40204,
LMPD24001910,01/05/2024,08/03/2023,8142,23 THEFT OTHER,"THEFT BY DECEPTION INCLUDING COLD CHECKS $1,000 < $10,000 514.040(8)(b) 71287 23H",23H,A,Yes,5th Division,513,Other Residence (Apartment/Condo),2100 BLOCK MILLVALE RD,LOUISVILLE,40205,
LMPD24001990,01/05/2024,12/20/2023,8142,21 THEFT FR VEH,TBUT OR DISP CONTENTS FROM VEH 514.030 24140 23F,23F,A,Yes,6th Division,624,Other Residence (Apartment/Condo),7000 BLOCK WILDWOOD CIR,LOUISVILLE,40291,
LMPD24001662,01/04/2024,12/14/2023,8578,27 FRAUD,"THEFT BY FAIL TO MAKE REQ DISP OF PROPERTY $10,000 OR MORE 514.070(4)(c) 23496 26A",26A,A,Yes,6th Division,624,Parking/ Drop Lot/ Garage,4700 BLOCK BARDSTOWN RD,LOUISVILLE,40218,
LMPD24001350,01/04/2024,01/03/2023,8142,24 VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE 512.030 01402 290,290,A,Yes,WEST BUECHEL,WB,Residence/Home,4600 BLOCK WESTCHESTER AVE,LOUISVILLE,40211 0000,
LMPD24001559,01/04/2024,12/29/2023,5597,14 AUTO THEFT,"TBUT OR DISP AUTO $1,000 < $10,000 514.030 24112 240",240,A,Yes,3rd Division,315,Parking/ Drop Lot/ Garage,7800 BLOCK DIXIE HWY,LOUISVILLE,40258,
LMPD24001569,01/04/2024,01/03/2023,5620,19 THEFT FR BLDG,TBUT OR DISP FROM BUILDING 514.030 24160 23D,23D,A,Yes,3rd Division,331,Other Residence (Apartment/Condo),2700 BLOCK ROCKFORD LN,LOUISVILLE,40216,
LMPD24001564,01/04/2024,12/29/2023,8499,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,Yes,8th Division,811,Cyberspace,10400 BLOCK WEMBERLEY HILL BLVD,LOUISVILLE,40241,
LMPD24001779,01/04/2024,01/04/2023,5239,32 EMBEZZLEMENT,"TBUT OR DISP ALL OTHERS $1,000 < $10,000 514.030 24097E 270",270,A,Yes,6th Division,613,Residence/Home,2000 BLOCK TERRIL LN,LOUISVILLE,40218,
LMPD24001423,01/04/2024,12/06/2023,5597,23 THEFT OTHER,THEFT OF MAIL MATTER 514.140 23265 23H,23H,A,Yes,1st Division,134,Residence/Home,600 BLOCK E MAIN ST,LOUISVILLE,40202,
LMPD24001583,01/04/2024,12/31/2023,8578,23 THEFT OTHER,TBUT OR DISP FIREARM 514.030 23100 23H,23H,A,Yes,2nd Division,234,Highway/ Road/ Alley/ Street/ Sidewalk,2900 BLOCK WILSON AVE,LOUISVILLE,40211,
LMPD24001475,01/04/2024,11/24/2023,5597,18 SHOPLIFTING,TBUT OR DISP SHOPLIFTING 514.030 24230 23C,23C,A,Yes,8th Division,815,Shopping Mall,7900 BLOCK SHELBYVILLE RD,LOUISVILLE,40222,
LMPD24001436,01/04/2024,01/02/2023,8142,24 VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE 512.040 01403 290,290,A,Yes,3rd Division,331,Church/Synagogue/Temple/Mosque,2100 BLOCK UPPER HUNTERS TRCE,LOUISVILLE,40216,
LMPD24001460,01/04/2024,12/07/2023,8373,26 COUNTERFEITING,CRIMINAL POSSESSION FORGED INSTRUMENT-2ND DEGREE-IDENTIFY 516.060 25062 250,250,A,Yes,5th Division,525,Residence/Home,800 BLOCK AHLAND RD,WOODLAWN PARK,40207,
LMPD24001607,01/04/2024,12/30/2023,8578,22 THEFT MV PARTS,THEFT OF MOTOR VEHICLE REGISTRATION PLATE/DECAL 186.990(6) 28200 23G,23G,A,Yes,4th Division,412,Other Residence (Apartment/Condo),2300 BLOCK CRITTENDEN DR,LOUISVILLE,40217,
LMPD24001373,01/04/2024,12/29/2023,8142,21 THEFT FR VEH,"TBUT OR DISP CONTENTS FROM VEH $500 < $1,000 514.030 24141 23F",23F,A,Yes,1st Division,123,Highway/ Road/ Alley/ Street/ Sidewalk,300 BLOCK W BROADWAY,LOUISVILLE,40202,
